id;url;name;icon_cls;ordernum;keep_alive;require_auth;parent_id;enabled;config
1;http://聪健.com;Bedfordshire infrastructures Salad;Pizza;994;false;true;79082;true;Compatible supply-chains Quetzal
2;http://志泽.net;generate navigating;payment;27965;true;true;37568;false;matrix
3;http://睿渊.com;Keyboard;orchestrate payment;85948;true;true;97293;false;South AI Fresh
4;https://晟睿.net;Polarised override Supervisor;parsing;99636;true;false;77534;true;Investment actuating bypass
5;https://鹏.biz;programming Home Berkshire;HTTP;70091;true;true;31828;true;Soft Global
6;http://越彬.biz;Frozen Steel;circuit withdrawal navigate;65681;false;false;11594;true;Tasty
7;https://立辉.biz;technologies Organic;Legacy Bedfordshire Licensed;57783;true;false;13366;false;collaborative
8;http://烨华.name;synergistic;Metrics;45457;true;true;36810;true;Electronics sky capacity
9;http://荣轩.net;metrics Agent;Granite;93777;true;false;93103;false;侬
10;https://炫明.biz;Loan Strategist wireless;incremental robust;79055;false;true;80831;false;巷 the
